len;Скорость;Широта;Долгота;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;уклон;Высота;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_point;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max;isin_border
4263.0;33.0;53.7514726;86.8424166;201.0;2368.0;82.8;49.505421945986534;42.55;0.0316100744366268;-1.00336494340777;0.0285510349750178;Груженный движется вперед;95;7530G;240;1299.0;15.0;24.0;792.0;30.0;796.0;24.86842105263158;861.7288135593221;42.86440677966102;872.0;38.0;24.0;41.0;868.8654545454546;44.21636363636364;/home/pi/adviser/route5;['/home/pi/adviser/route5', '/home/pi/adviser/route16', '/home/pi/adviser/route4', '/home/pi/adviser/route3', '/home/pi/adviser/route31', '/home/pi/adviser/route24', '/home/pi/adviser/route26'];58.20130902777778;6.3;7.8;9.8;9.7;-1.629120065954999;-1.458265577523223;-1.9475827250408881;160.21072796935204;1.150108810559774;5.9;8.555;9.9;9.9;point_30%;5.9;9.9;7;0;0;0;-;0.0;0;0;0;0;1
4302.0;32.0;53.7517882;86.8426554;201.5;2368.0;82.8;38.48896797216957;42.5375;-0.02345263587233605;-1.0038747833180381;0.045120832058733504;Груженный движется вперед;95;7530G;240;1299.0;15.0;24.0;792.0;30.0;796.0;24.815789473684212;861.5254237288135;42.76271186440678;872.0;38.0;24.0;41.0;868.8218181818181;44.20545454545454;/home/pi/adviser/route4;['/home/pi/adviser/route4', '/home/pi/adviser/route3', '/home/pi/adviser/route31', '/home/pi/adviser/route5', '/home/pi/adviser/route26', '/home/pi/adviser/route16', '/home/pi/adviser/route24'];58.26038888888889;7.6;7.6;10.9;10.1;-2.5728215422043963;-1.5939139066647292;-1.9306139814401537;158.74329501916046;1.0696668431766316;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;1
4346.0;31.0;53.7521361;86.8429777;200.0;2368.0;82.8;44.158456525532856;42.7;-0.0152951973080452;-1.0319159783827878;0.0367084735393086;Груженный движется вперед;95;7530G;240;1299.0;15.0;24.0;792.0;30.0;796.0;24.763157894736842;861.3220338983051;42.66101694915254;872.0;38.0;24.0;41.0;868.7781818181818;44.194545454545455;/home/pi/adviser/route4;['/home/pi/adviser/route4', '/home/pi/adviser/route16', '/home/pi/adviser/route26', '/home/pi/adviser/route5', '/home/pi/adviser/route31', '/home/pi/adviser/route3', '/home/pi/adviser/route24'];58.307833333333335;6.9;7.1;10.3;9.4;-2.037107125857206;-1.7335443054970698;-2.010425157578817;157.306513409965;1.157432278630239;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;1
4382.0;33.0;53.7524336;86.8431984;200.0;2368.0;83.2;36.16406091195814;52.35;-0.0132558376669725;-0.9972468644845518;0.0295707147955541;Груженный движется вперед;95;7530G;240;1300.0;18.5;29.5;792.0;30.0;796.0;24.728070175438596;861.1864406779662;42.59322033898305;872.0;38.0;24.0;41.0;868.7490909090909;44.18727272727273;/home/pi/adviser/route26;['/home/pi/adviser/route26', '/home/pi/adviser/route4', '/home/pi/adviser/route16', '/home/pi/adviser/route3', '/home/pi/adviser/route31', '/home/pi/adviser/route5', '/home/pi/adviser/route24'];58.366;7.4;6.8;9.8;9.4;-1.6983069863086504;-2.117988727726038;-1.8476670779839761;155.81379310345156;1.154537011937999;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;1
4419.0;33.0;53.752738;86.843426;201.0;2368.0;83.2;37.0500326480628;42.7;-0.0244723156928724;-1.041093096767615;0.020393596410727;Груженный движется вперед;95;7530G;240;1299.0;15.0;24.0;792.0;30.0;796.0;24.69298245614035;861.0508474576271;42.52542372881356;872.0;38.0;24.0;41.0;868.72;44.18;/home/pi/adviser/route16;['/home/pi/adviser/route16', '/home/pi/adviser/route3', '/home/pi/adviser/route5', '/home/pi/adviser/route31', '/home/pi/adviser/route26', '/home/pi/adviser/route4', '/home/pi/adviser/route24'];58.413444444444444;7.3;7.6;10.9;9.1;-1.1218929684976973;-2.2753315994268792;-1.7243620055256568;154.41839080460096;1.1138759173677568;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;1
4457.0;33.0;53.7530418;86.8436786;202.0;2368.0;83.2;37.685404748907715;42.55;-0.0662791883348628;-0.9880697460997246;0.0173345569491179;Груженный движется вперед;95;7530G;240;1299.0;15.0;24.0;792.0;30.0;796.0;24.657894736842106;860.9152542372881;42.45762711864407;872.0;38.0;24.0;41.0;868.6909090909091;44.17272727272727;/home/pi/adviser/route31;['/home/pi/adviser/route31', '/home/pi/adviser/route5', '/home/pi/adviser/route16', '/home/pi/adviser/route3', '/home/pi/adviser/route26', '/home/pi/adviser/route4'];58.496180555555554;7.5;6.3;10.7;8.8;-1.0028327988718495;-2.4483758089458254;-1.4459456861828883;153.13256704981168;0.9841173098989705;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;1
4539.0;37.0;53.7536596;86.8443732;203.0;2368.0;83.2;82.58394653151267;42.2;-0.1651881309268889;-1.0084633425104517;0.0275313551544814;Груженный движется вперед;95;7530G;240;1299.0;15.0;24.0;792.0;30.0;796.0;24.62280701754386;860.7796610169491;42.389830508474574;872.0;38.0;24.0;41.0;868.6618181818181;44.165454545454544;/home/pi/adviser/route3;['/home/pi/adviser/route3', '/home/pi/adviser/route31', '/home/pi/adviser/route4', '/home/pi/adviser/route5', '/home/pi/adviser/route16', '/home/pi/adviser/route26'];58.55479166666667;8.5;6.9;12.3;8.2;-1.5432474558165754;-2.566366639065903;-1.1281591513092284;152.07662835249363;0.8391090693362117;8.555;5.9;9.9;9.9;point_30%;5.9;9.9;8;0;0;0;-;0.0;0;0;0;0;1
4584.0;38.0;53.7539557;86.8448229;202.0;2368.0;83.6;44.30137018978389;42.2;-0.0846334251045171;-1.0308962985622514;0.0744366268991536;Груженный движется вперед;95;7530G;240;1299.0;15.0;24.0;792.0;30.0;796.0;24.587719298245613;860.6440677966102;42.32203389830509;872.0;38.0;24.0;41.0;868.6327272727273;44.158181818181816;/home/pi/adviser/route3;['/home/pi/adviser/route3', '/home/pi/adviser/route31', '/home/pi/adviser/route4', '/home/pi/adviser/route5', '/home/pi/adviser/route16', '/home/pi/adviser/route26'];58.601680555555554;7.6;6.3;11.8;8.5;-4.116116602791461;-2.6542749836889135;-0.7149671705162796;151.30114942529056;0.8738267007555246;8.555;5.9;9.9;9.9;point_30%;5.9;9.9;8;0;0;0;-;0.0;0;0;0;38;1
4628.0;38.0;53.7542635;86.8452587;207.0;2368.0;83.6;44.68598642294228;249.175;-0.0499643112062812;-0.9584990313041704;-0.0254919955134087;Груженный движется вперед;95;7530G;240;1490.5;70.0;100.0;792.0;30.0;796.0;24.55263157894737;860.5084745762713;42.25423728813559;872.0;38.0;24.0;41.0;868.6036363636364;44.150909090909096;/home/pi/adviser/route3;['/home/pi/adviser/route3', '/home/pi/adviser/route31', '/home/pi/adviser/route4', '/home/pi/adviser/route16', '/home/pi/adviser/route5', '/home/pi/adviser/route26'];58.87854166666666;7.8;6.4;11.6;10.3;1.5214001218792166;-2.8482802659508146;-0.1725988174419454;150.83295019157407;0.9684482117170199;8.555;5.9;9.9;9.9;point_30%;5.9;9.9;8;0;0;0;-;0.0;0;0;0;0;1
4671.0;36.0;53.7545777;86.8456241;206.0;2368.0;83.2;42.44771838480641;370.925;-0.0703579076170082;-1.041093096767615;-0.0397675130009177;Груженный движется вперед;95;7530G;240;1796.5;85.0;87.5;792.0;30.0;796.0;24.517543859649123;860.3728813559321;42.186440677966104;872.0;38.0;24.0;41.0;868.5745454545455;44.14363636363636;/home/pi/adviser/route31;['/home/pi/adviser/route31', '/home/pi/adviser/route4', '/home/pi/adviser/route3', '/home/pi/adviser/route16', '/home/pi/adviser/route5', '/home/pi/adviser/route26'];59.290680555555554;6.6;5.3;11.6;8.9;2.182538320432402;-2.9283052205713567;0.3027612843862182;150.80842911877713;0.9287978129432948;5.9;5.9;9.9;9.9;-;5.9;9.9;0;0;0;0;-;0.0;0;0;0;0;1
