Широта;Долгота;in_current_border_original;point;рекомендованная скорость_min;рекомендованная скорость_max;len;new_slope;Скорость;Продольный наклон;Поперечный наклон;Высота;point_route_dist;рекомендованная скорость_turns;Поворот влево;Поворот вправо;подъем;спуск;Обороты двигателя;Текущая нагрузка двигателя;incline;rec_hole;примечание;рекомендованная скорость_holes;nom_hole;рекомендованная скорость;рекомендованная скорость_add;azimut;путь;centr;radius;время движения по маршруту;no_avoid;Объезд слева;Объезд справа;Неровная дорога;Опасность;dist;Грузоподъемность;Модель самосвала;Самосвал;уровень давления впереди,МПа;уровень давления сзади,МПа;Расход топлива_средний;Расход топлива;X_;Y_;shtraf
60.65608616666667;59.72441516666667;1;point_30%;0;0;3061.0;1.6;25.02951388888889;0.9932613714380233;4.404308023339667;447.65119552050965;0.0;0;0;0;0;0;;;flat;Объезд справа;-;0;22;0;0;0.8129809671722785;10.564813759744288;-;0.0;950.0;0;0;0;0;0;3.091019647027247;130;75131;32;23.7;21.6;0;0;60.656014166666665;59.724289;0.3630036866841901
60.656153833333335;59.72454583333333;1;point_30%;0;0;3072.0;1.6;24.819444444444443;1.0807142165559944;4.358373237353553;447.6453834577388;7.750609019042891;0;0;0;0;0;;;flat;Объезд справа;добавили новую яму;0;22;0;0;0.8020873809670455;10.370846306089286;-;0.0;950.0;0;0;0;0;0;3.1678335993353146;130;75131;32;23.7;21.6;0;0;60.65608616666667;59.72441516666667;0.3630036866841901
60.656217;59.7246705;1;point_30%;0;0;3082.0;1.6;24.62847222222222;1.16759951055071;4.318934691475641;447.6592638090004;9.795460876948674;0;0;0;0;0;;;flat;Объезд справа;-;0;22;0;0;0.8717894654337889;9.782582648673497;-;0.0;950.0;0;0;0;0;0;4.797691230792977;130;75131;32;23.7;21.6;0;0;60.656153833333335;59.72454583333333;0.3630036866841901
60.6562855;59.724788;1;point_30%;0;0;3092.0;1.6;24.4375;1.2534590197383049;4.286502462813553;447.70058954982386;4.942116244040379;0;0;0;0;0;;;flat;Объезд справа;добавили новую яму;0;22;0;0;0.882421080865361;9.961728530151898;-;0.0;950.0;0;0;0;0;0;4.537816651707873;130;75131;32;23.7;21.6;0;0;60.656217;59.7246705;0.3630036866841901
60.656378333333336;59.72494383333333;1;point_30%;0;0;3105.0;1.6;24.18923611111111;1.3377867200204392;4.261499799386572;447.7510912217773;4.537816651707873;0;0;0;0;0;;;flat;Объезд справа;добавили новую яму;0;22;0;0;0.8929277343380229;13.381616760470369;-;0.0;950.0;0;0;0;0;0;4.06644675302718;130;75131;32;23.7;21.6;0;0;60.6562855;59.724788;0.3630036866841901
60.656462833333336;59.725082666666665;1;point_30%;0;0;3117.0;1.6;23.960069444444443;1.42010401342813;4.244363103344212;447.8274834101817;4.631212875122534;0;0;0;0;0;;;flat;Объезд справа;-;0;22;0;0;0.9014140236272591;12.076684304045212;-;0.0;950.0;0;0;0;0;0;2.559719725660733;130;75131;32;23.7;21.6;0;0;60.656378333333336;59.72494383333333;0.3630036866841901
60.656515166666665;59.725167166666665;1;-;0;0;3124.0;1.6807880124764931;23.826388888888886;1.4999539827880912;4.235335541745725;447.92434862980235;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.8849528641029083;7.428951490289623;-;0.0;950.0;0;0;0;0;0;1.5025241991580898;130;75131;32;23.7;21.6;0;0;60.656462833333336;59.725082666666665;0.3630036866841901
60.65656516666667;59.72525066666667;1;-;0;0;3132.0;1.7709459204774054;23.67361111111111;1.576955928890616;4.2346346646678334;448.0393190977769;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.8503568189779253;7.19237445554301;-;0.0;950.0;0;0;0;0;0;2.172949111034571;130;75131;32;23.7;21.6;0;0;60.656515166666665;59.725167166666665;0.3630036866841901
60.6566115;59.72533366666666;1;-;0;0;3138.0;1.928503555032529;23.55902777777778;1.6507499641725105;4.242408711116653;448.17714525043226;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.8419646912894035;6.863319324156629;-;0.0;950.0;0;0;0;0;0;2.493865057691514;130;75131;32;23.7;21.6;0;0;60.65656516666667;59.72525066666667;0.3630036866841901
60.65666016666667;59.72542233333333;1;-;0;0;3146.0;2.0159610217600035;23.40625;1.7209499651105455;4.258728850528407;448.3242365952773;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.7606749447147596;7.262713945676693;-;0.0;950.0;0;0;0;0;0;0.7337971332597075;130;75131;32;23.7;21.6;0;0;60.6566115;59.72533366666666;0.3630036866841901
60.65667284397163;59.725449515057505;1;-;0;0;3148.0;2.0159610217600035;23.368055555555557;1.7872461585570816;4.2835509982859366;448.48356738183503;0.0;0;0;0;0;0;;;up;Нет;;0;-;0;0;0.7461129086324774;2.047046440223593;-;0.0;950.0;0;0;0;0;0;1.313633821726731;130;75131;32;23.7;21.6;0;0;60.65666016666667;59.72542233333333;0.3630036866841901
60.65670016666667;59.72550983333333;1;-;0;0;3152.0;1.940740660814268;23.291666666666664;1.8494138023842281;4.316877533713429;448.6502421076992;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.6923338107138326;4.480920253407072;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.65667284397163;59.725449515057505;0.3630036866841901
60.656734166666666;59.7255935;1;-;0;0;3158.0;2.003249139969898;23.177083333333332;1.9072014021784967;4.358582462538976;448.82941367990753;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.6812454698448813;5.929374657209219;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.65670016666667;59.72550983333333;0.3630036866841901
60.65676833333333;59.7256795;1;-;0;0;3164.0;2.001314127921628;23.0625;1.96036351952645;4.408483122983095;449.0291452679878;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.7022396292702163;6.039566647445999;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.656734166666666;59.7255935;0.3630036866841901
60.656805166666665;59.725768333333335;1;-;0;0;3171.0;1.978383385691808;22.928819444444443;2.008683101725939;4.4664244726607825;449.23171432915154;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.7028285976708504;6.347973855530957;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.65676833333333;59.7256795;0.3630036866841901
60.65684266666667;59.72585866666667;1;-;0;0;3177.0;2.1744858890377143;22.81423611111111;2.0515231971064813;4.535080391577672;449.44220565819165;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.6850225297153872;6.458374980326889;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.656805166666665;59.725768333333335;0.3630036866841901
60.6568795;59.72595066666667;1;-;0;0;3184.0;2.246167345978754;22.680555555555557;2.0897247385329614;4.609660785024766;449.65450383762;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.6682761908268477;6.480800833669756;-;0.0;950.0;0;0;0;0;0;0.0;130;75131;32;23.7;21.6;0;0;60.65684266666667;59.72585866666667;0.3630036866841901
