Широта;Долгота;in_current_border_original;point;рекомендованная скорость_min;рекомендованная скорость_max;len;new_slope;Скорость;Продольный наклон;Поперечный наклон;Высота;point_route_dist;рекомендованная скорость_turns;Поворот влево;Поворот вправо;подъем;спуск;Обороты двигателя;Текущая нагрузка двигателя;incline;rec_hole;примечание;рекомендованная скорость_holes;nom_hole;рекомендованная скорость;рекомендованная скорость_add;azimut;путь;centr;radius;время движения по маршруту;Расход топлива_средний;Расход топлива;no_avoid;Объезд слева;Объезд справа;Неровная дорога;Опасность;dist;Грузоподъемность;Модель самосвала;Самосвал;уровень давления впереди,МПа;уровень давления сзади,МПа;shtraf
60.6418575;59.7156825;1;-;0;0;769.0;5.878129808801198;14.931914893617021;5.713310728272194;5.473423126715867;362.8163192936687;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.15319089976257616;4.575933023993612;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.64186383333333;59.71576616666667;1;-;0;0;774.0;5.909850741278207;14.995744680851065;5.655804988672876;5.481504408860243;363.0561984368153;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.1663758227120402;4.620401283894101;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.64187066666667;59.715849166666665;1;-;0;0;778.0;5.834481772957849;15.046808510638298;5.584398706119092;5.488924816350625;363.30214213344294;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.1943659004111824;4.593334271906038;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.6418785;59.71593033333333;1;-;0;0;783.0;5.792940308719462;15.11063829787234;5.527328442129624;5.497070021063976;363.56400709219236;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.11991150372424508;4.514860975907624;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.641883166666666;59.71600933333333;1;-;0;0;787.0;5.748951854153792;15.161702127659574;5.4703207442382205;5.5048712838115454;363.8523881893121;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.06718859979282232;4.342781027528994;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.64188583333333;59.71609016666667;1;-;0;0;792.0;5.6715485955204485;15.225531914893617;5.41237426598166;5.512725551943225;364.16691634099817;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.13655718693324626;4.42163082803246;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.64189116666667;59.71616933333333;1;-;0;0;796.0;5.558558523537204;15.27659574468085;5.3527716905393;5.527286403376812;364.4767549572959;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.11941251115390017;4.361292869567823;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.641895833333336;59.716248666666665;1;-;0;0;800.0;5.462324239054386;15.327659574468084;5.283736151706841;5.542813994401804;364.80358590243986;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.0836887061048106;4.360841638403314;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.641899;59.71632566666667;1;-;0;0;805.0;5.2811222610751205;15.391489361702128;5.222045629124962;5.556369953926012;365.1322224634472;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.157832631424643;4.217199685708651;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.64190533333333;59.71640683333333;1;point_30%;0;0;809.0;5.260254334862458;15.442553191489361;5.165177281657105;5.565769470599815;365.4865718627815;0.0;0;0;0;0;0;;;up;Объезд слева;-;0;9;0;0;0.15595136347003535;4.485598789877964;-;0.0;729.0;0;0;0;1;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.6419115;59.716486833333335;1;point_30%;0;0;814.0;5.112652448445104;15.506382978723405;5.111497678504865;5.572819585421063;365.85519973946396;0.0;0;0;0;0;0;;;up;Объезд слева;-;0;9;0;0;0.1522069173219951;4.419807680234388;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.64191766666666;59.71656883333333;1;-;0;0;818.0;4.937411716395983;15.557446808510639;5.0612806045768215;5.584178833373653;366.2256802721026;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.14467614241284554;4.527668168608093;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.6419235;59.7166505;1;-;0;0;823.0;4.811192949283297;15.62127659574468;5.015967355556971;5.585363198201707;366.6136886669499;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.12161147988622956;4.504186864274314;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.64192833333333;59.71673116666667;1;-;0;0;827.0;4.693258016815199;15.672340425531914;4.97864183864629;5.578733035345351;367.0111123172611;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.2336215306985776;4.4353095562822205;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.64193766666666;59.716811166666666;1;-;0;0;831.0;4.673241320143297;15.72340425531915;4.93167185787935;5.568375205811002;367.41164061368596;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.0791325592707719;4.4880879595158625;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
60.64194066666667;59.71688833333333;1;-;0;0;836.0;4.56956396980111;15.787234042553191;4.888617190483114;5.553029501146147;367.8196591402456;0.0;0;0;0;0;0;;;up;Нет;-;0;-;0;0;0.23277474985149071;4.224751553776427;-;0.0;729.0;0;0;0;0;0;0;0;0.0;130;75131;32;40.2;36.2;0.18962540654514623
