len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;remark;shtraf;isin_border
39.0;20.0;60.64552116666667;59.718135333333336;321.6;78.09089443440887;-1.8524047904846008;107.0;;86.0;0.9201298742433239;;0.0435791015625;1.099365234375;0.21533203125;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;31.0;712.0;28.0;700.0;31.0;/home/pi/adviser/route5;['/home/pi/adviser/route5'];829;;;8.4;7.5;8.6;7.3;6.578152833404413;1.6138911659927142;3.1140328350568716;10.44;7.2;7.0;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0;1.6138911659927142;flat;2;0.01;1;0.0;0
40.0;19.0;60.645521333333335;59.718123;321.9;80.94552452368296;-0.4663955715541381;107.0;;86.0;0.6732981390120614;;0.01416015625;1.0299072265625;0.1329345703125;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;31.0;712.0;28.0;700.0;31.0;/home/pi/adviser/route5;['/home/pi/adviser/route5'];829;;;9.8;7.5;10.6;5.2;6.608371935507872;1.774705339377304;-3.081074610439849;10.44;7.2;10.15;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0;1.774705339377304;up;2;0.01;1;0.0;0
41.0;19.0;60.645520833333336;59.718106166666665;322.7;80.62951847056013;4.73556540922735;107.0;;86.0;0.9202967627160311;;-0.0762939453125;0.901123046875;0.129638671875;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;31.0;712.0;28.0;700.0;31.0;/home/pi/adviser/route5;['/home/pi/adviser/route5'];829;;;9.8;6.8;7.9;8.1;6.473503172436739;1.99842145251495;3.0748088107966502;10.44;7.2;7.0;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0;1.99842145251495;up;2;0.01;1;0.0;0
42.0;18.0;60.6455215;59.71808583333333;323.2;81.83194404326349;-2.780206265885842;107.0;;86.0;1.112089612218305;;0.0516357421875;1.052734375;0.1409912109375;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;31.0;712.0;28.0;700.0;31.0;/home/pi/adviser/route5;['/home/pi/adviser/route5'];829;;;9.4;7.0;8.6;8.1;6.285124678135237;2.188874134594465;-2.921330021223639;10.44;7.2;7.0;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0;2.188874134594465;up;2;0.01;1;0.0;0
43.0;18.0;60.6455185;59.7180585;324.5;75.96042268386401;0.9611106695848164;107.0;;86.0;1.5285370345486802;;-0.0172119140625;0.9254150390625;0.232666015625;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;31.0;712.0;28.0;700.0;31.0;/home/pi/adviser/route5;['/home/pi/adviser/route5'];829;;;8.9;7.2;8.6;5.3;6.248978323208222;2.2503940907836038;3.053674292982378;7.2;7.2;7.0;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0;2.2503940907836038;up;2;0.01;1;0.0;0
45.0;18.0;60.645519666666665;59.7180315;324.8;80.45558497168642;-0.2098257898067609;107.0;;86.0;1.479130232531642;;0.001220703125;1.0372314453125;0.1817626953125;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;31.0;712.0;28.0;700.0;31.0;/home/pi/adviser/route5;['/home/pi/adviser/route5'];829;;;8.9;7.2;8.4;6.8;6.192715883815108;2.3171195566981275;3.1300678760018634;7.2;7.2;7.0;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0;2.3171195566981275;up;2;0.01;1;0.0;0
46.0;17.0;60.64551983333333;59.718002;325.5;73.4716437049424;0.504524654791771;107.0;;86.0;1.60995178298367;;-0.0133056640625;0.9415283203125;0.26513671875;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;31.0;712.0;28.0;700.0;31.0;/home/pi/adviser/route5;['/home/pi/adviser/route5'];829;;;8.7;8.4;8.4;6.8;6.015055274956858;2.4638027115342145;3.073320949722488;7.2;7.2;7.0;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0;2.4638027115342145;up;2;0.01;1;0.0;0
48.0;17.0;60.645520833333336;59.71797216666667;326.2;81.3350297264186;-4.766115051052768;107.0;;86.0;1.631836692747903;;0.0943603515625;1.1236572265625;0.142333984375;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;31.0;712.0;28.0;700.0;31.0;/home/pi/adviser/route5;['/home/pi/adviser/route5'];829;;;7.4;8.4;8.7;5.6;5.937571214546996;2.6223682112818905;-2.950171789162015;7.2;7.2;7.0;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0;2.6223682112818905;up;2;0.01;1;0.0;0
50.0;17.0;60.64551766666666;59.717938833333335;327.6;83.27899732614381;-3.404505849534784;107.0;;86.0;1.8528768489386607;;0.0625;1.043701171875;0.0850830078125;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;31.0;712.0;28.0;700.0;31.0;/home/pi/adviser/route5;['/home/pi/adviser/route5'];829;;;8.9;7.5;10.2;4.9;5.903813581673253;2.7367278843623084;-3.014781205040628;7.2;7.2;10.15;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0;2.7367278843623084;up;2;0.01;1;0.0;0
53.0;16.0;60.64551458333334;59.7178895;328.9;80.89420882683072;-4.427509729376617;107.0;;86.0;2.7139629715450675;;0.0732421875;0.971923828125;0.0616455078125;Груженный движется вперед;32;75131;130;;;;;692.0;21.0;700.0;20.0;708.0;35.0;696.0;31.0;712.0;28.0;700.0;31.0;/home/pi/adviser/route5;['/home/pi/adviser/route5'];829;;;9.5;6.4;10.2;9.1;5.814461208757777;2.8564599350360576;-2.7379790639969075;10.44;7.2;10.15;7.0;point_60%;7.2;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0;2.8564599350360576;up;2;0.01;1;0.0;0
