len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
2327.0;20.0;60.650718;59.71422666666667;452.8;82.08189545208685;-6.844885637589096;97.0;;78.8;5.634533504735769;;0.128173828125;1.071533203125;-0.0419921875;Груженный движется вперед;32;75131;130;;;;;742.4000000000001;20.6;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;7.3;6.8;8.2;6.3;6.622297941853345;2.9573047340049157;1.1194914410603558;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.622297941853345;up;8;0.01;67.56461938571027;1
2333.0;21.0;60.65076283333333;59.714271;453.1;83.50798904334216;-3.592699988450848;96.0;;78.8;5.546201786778174;;0.0667724609375;1.060546875;0.092529296875;Груженный движется вперед;32;75131;130;;;;;742.5882352941176;20.647058823529413;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;7.7;7.0;8.2;6.2;6.493943767047296;2.2169743692292823;1.1135904902635039;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.493943767047296;up;8;0.01;68.26841750431143;1
2338.0;21.0;60.65080716666667;59.7143155;452.7;80.54905720740882;-5.522512413914766;97.0;;78.8;5.500174348768497;;0.0997314453125;1.007568359375;0.1356201171875;Груженный движется вперед;32;75131;130;;;;;742.7764705882353;20.694117647058825;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;7.8;7.0;7.5;6.3;6.65774348625771;2.077421372812403;1.1407030038180324;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.65774348625771;up;8;0.01;67.56461938571027;1
2344.0;21.0;60.650854;59.71435933333333;452.8;79.80385093376182;-6.385704142411704;96.0;;78.8;5.735942271698821;;0.1104736328125;0.97705078125;0.125;Груженный движется вперед;32;75131;130;;;;;742.964705882353;20.741176470588236;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;7.8;7.1;7.5;6.3;6.571461556923809;2.845832619145933;1.1210138794063145;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.571461556923809;up;8;0.01;68.26841750431143;1
2349.0;21.0;60.6508985;59.71440316666666;452.6;80.19456690946282;-4.843137570039952;96.0;;78.8;5.500913470497551;;0.088623046875;1.0330810546875;0.152587890625;Груженный движется вперед;32;75131;130;;;;;743.1529411764707;20.788235294117648;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;7.8;7.3;8.2;6.3;6.757426130892505;2.7845758390562594;1.1122376407546564;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.757426130892505;up;8;0.01;68.26841750431143;1
2355.0;21.0;60.65094483333333;59.71444983333333;453.0;79.17687241439043;-10.278782317129563;96.0;;78.8;5.752136254329423;;0.1856689453125;1.0216064453125;-0.0546875;Груженный движется вперед;32;75131;130;;;;;743.3411764705882;20.83529411764706;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;7.8;7.0;8.6;6.2;6.811728723030821;2.9704365682594576;1.0976007341621823;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.811728723030821;up;8;0.01;68.26841750431143;1
2361.0;21.0;60.65098966666667;59.71449666666667;452.9;81.34586425145523;-5.858930746988968;96.0;;78.8;5.607029267017076;;0.108154296875;1.0533447265625;0.05810546875;Груженный движется вперед;32;75131;130;;;;;743.5294117647059;20.88235294117647;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;7.8;7.0;8.6;6.2;6.6704442150450625;4.184393134323256;1.110867514115558;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.6704442150450625;up;8;5.657744043783105;68.26841750431143;1
2367.0;0.1;60.6510365;59.714544;453.6;83.60023761341947;-6.316541341861052;95.0;;78.8;5.818150366193061;;0.1187744140625;1.0728759765625;0.0045166015625;Груженный движется вперед;32;75131;130;;;;;743.7176470588236;20.929411764705883;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;7.5;7.1;7.3;6.3;6.479350351701914;5.1346053391641036;1.0932002243756513;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.479350351701914;up;8;0.01;68.98703242540944;1
2372.0;20.0;60.65108116666666;59.714591166666665;453.9;80.10241433023296;-7.001479907253593;94.0;;78.8;5.5988538543859345;;0.1241455078125;1.0028076171875;0.110107421875;Груженный движется вперед;32;75131;130;;;;;743.9058823529413;20.976470588235294;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;7.4;7.1;8.2;6.3;6.609578897698411;5.183319503116384;1.0661626432489495;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.609578897698411;up;8;0.01;69.72093702567975;1
2378.0;20.0;60.6511245;59.71464;453.9;80.41283394304597;-5.105953622508542;94.0;;78.8;5.510845059453271;;0.0921630859375;1.050537109375;0.0982666015625;Груженный движется вперед;32;75131;130;;;;;744.0941176470587;21.023529411764706;736.0;15.0;764.0;33.0;744.0;31.0;708.0;26.0;748.0;28.0;/home/pi/adviser/route1;['/home/pi/adviser/route1', '/home/pi/adviser/route2'];670;;;7.4;7.0;8.2;5.9;6.000983042722392;7.1237943622747615;1.051120966516593;8.2;8.2;7.4;7.4;-;8.2;7.4;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.000983042722392;up;8;0.01;69.72093702567975;1
