Широта;Долгота;in_current_border_original;point;рекомендованная скорость_min;рекомендованная скорость_max;len;Скорость;Продольный наклон;уклон;Поперечный наклон;Высота;point_route_dist;рекомендованная скорость_turns;Поворот влево;Поворот вправо;подъем;спуск;rec_hole;примечание;рекомендованная скорость_holes;рекомендованная скорость;рекомендованная скорость_add;azimut;путь;centr;radius;время движения по маршруту;nom_point;no_avoid;Объезд слева;Объезд справа;Неровная дорога;Опасность;Грузоподъемность;Модель самосвала;Самосвал;уровень давления впереди,МПа;уровень давления сзади,МПа
53.7497819;86.7708379;1;point_30%;0;0;432;28.747583078920588;-2.1423432005380834;-0.28451783030265343;-1.5569138994988152;-1.1840181782954913;0.0;0;0;0;0;0;скорость_18.0;-;0;0.0;0.0;-1.2701422630955368;33.274852599651524;-;0;288.0;4;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7494964;86.7709876;1;point_30%;0;0;466;29.0;-2.04340660162599;-0.21831227080789584;-1.4370384432768057;-1.4255021482259465;0.0;0;0;0;0;0;Объезд слева;-;0;29.0;0.0;-1.1575782650297262;33.949452883651674;-;0;288.0;4;0;1;0;0;0;240;7530G;95;6.3;10.2
53.7492171;86.7711947;1;point_30%;0;0;469;29.032258064516128;-1.7446779167895727;-0.13130838136180495;-1.2935676793310362;-1.650499841773839;0.0;0;0;0;0;0;Объезд слева;-;0;0.0;29.0;-1.0910654003176643;3.4511046945558124;-;0;288.0;4;0;0;0;0;0;240;7530G;95;6.3;10.2
53.74918959817216;86.77121889725132;1;-;0;0;503;29.397849462365592;-1.3711694097285645;-0.04641765519833771;-1.1631609087357826;-1.8044065804299105;0.0;0;0;0;0;0;Нет;;0;0.0;0.0;-1.0910633387034823;34.14462311398795;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7489175;86.7714583;1;point_30%;0;0;515;29.526881720430108;-1.0915078436712191;0.010527503422415502;-1.0781658306982114;-1.8873159432234015;0.0;0;0;0;0;0;Объезд слева;-;0;0.0;0.0;-1.1032672731916926;12.026743449068894;-;0;288.0;5;0;0;0;0;0;240;7530G;95;6.3;10.2
53.74882105767694;86.77154064029791;1;-;0;0;519;29.56989247311828;-0.8952149180760962;0.054191333249868155;-1.0167980049220857;-1.9291505571337209;0.0;0;0;0;0;0;Нет;-;0;0.0;0.0;-1.181006457760081;3.665546890608333;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7487906;86.7715618;1;-;0;0;521;29.591397849462364;-0.6566515405376414;0.11769163096709911;-0.9306343305078878;-1.9671685683682991;0.0;0;0;0;0;0;Нет;-;0;0.0;0.0;-0.9680683941555466;2.112313287610113;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.74877496861353;86.77157999082245;1;-;0;0;540;29.795698924731184;-0.46310928322935274;0.18376724289030255;-0.8459287622624883;-1.9588603647933296;0.0;0;0;0;0;0;Нет;-;0;0.0;0.0;-1.1032532969181914;18.3900528905643;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7486275;86.7717059;1;-;0;0;572;30.13978494623656;-0.15901510463058924;0.2922598880763777;-0.7081235299653772;-1.9452240791539452;0.0;0;0;0;0;0;Нет;-;0;0.0;0.0;-1.020949163615076;32.51127467316903;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.74837849762791;86.77196398176075;1;-;0;0;574;30.161290322580644;0.23582974669358658;0.42734897206083045;-0.5423335715592841;-1.9177572035176969;0.0;0;0;0;0;0;Нет;-;0;0.0;0.0;-1.0992038437812082;2.2105592856919483;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.74836080769308;86.77197923772644;1;-;0;0;581;30.236559139784948;0.6687739708333327;0.571676290784391;-0.38717796068451044;-1.8454009976174095;0.0;0;0;0;0;0;Нет;-;0;0.0;0.0;-1.131724160812936;7.07536100723404;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.74830286540628;86.7720234108199;1;point_60%;0;31;652;31.0;1.1740677799634573;0.7311523234829409;-0.2519871158854122;-1.6948672487011185;5.73314066167919;0;0;0;0;0;Объезд справа;;0;31.0;0.0;-1.4473890785389614;71.0137645772921;-;0;288.0;6;0;0;1;0;0;240;7530G;95;6.3;10.2
53.7476698;86.7721562;1;point_60%;0;0;663;31.0;1.7769151192973873;0.89637771597739;-0.14330483788171866;-1.4808349311117959;3.9789953075945936;0;0;0;0;0;Объезд справа;-;0;0.0;0.0;-1.344000465924077;10.178648618367335;-;0;288.0;6;0;0;0;0;0;240;7530G;95;6.3;10.2
53.74758070666165;86.77219096780034;1;point_60%;0;0;681;31.0;2.4189576844620015;1.0493228463090487;-0.058975764237404776;-1.2509230530670306;3.319021492905906;0;0;0;0;0;Объезд справа;добавили новую яму;0;0.0;0.0;-1.4889577229365814;17.98367258039655;-;0;288.0;6;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7474197;86.7722133;1;-;0;0;689;31.0;2.9889306028056417;1.2078566614589092;0.00621326503801307;-0.9818857030247932;0.0;0;0;0;0;0;Нет;-;0;0.0;0.0;-1.2048307213833014;7.997303439000664;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.74735261753661;86.77225677354566;1;-;0;0;695;31.0;3.2441200498921;1.468062258319008;0.03387096246684777;-0.4636366235069038;0.0;0;0;0;0;0;Нет;-;0;0.0;0.0;-1.4629060441958028;6.496365141152779;-;0;288.0;-;0;0;0;0;0;240;7530G;95;6.3;10.2
53.7472946;86.7722674;1;point_30%;0;0;720;31.0;3.267377328815367;1.6858231801762091;0.03787605527734692;-0.007185837239933865;4.141017466243731;0;0;0;0;0;Объезд справа;-;0;31.0;0.0;-1.2330658902873757;24.6355821695877;-;0;288.0;7;0;0;0;0;0;240;7530G;95;6.3;10.2
