lat;lon;vel;acc_X;acc_Y;acc_Z;fb_tilt;tilt;hole;acc
53.7307753;86.8485737;23.0;1.854438148858812;1.7590138054719422;0.0571020699500356;0.002753135515448202;-0.0672988681553992;0;2.5566249357651896
53.730957;86.8488834;23.0;2.0290785551441273;1.7656899780425552;0.0825940654634444;0.019068012644029797;-0.0693382277964719;0;2.6910300372079607
53.7311441;86.8490705;18.0;1.604729449741273;1.6182048842792862;0.0509839910268175;0.013969613541347958;-0.0622004690527174;0;2.279548863637998
53.7313217;86.8490689;15.0;3.8306731133631935;1.3501080303521154;-0.1274599775670439;-0.01050270215152449;-0.1040073416947078;0;4.063630672310947
53.731472;86.8490656;12.0;5.25647729524203;1.1006204801423016;-0.0836137452839808;0.01855817273376159;-0.1254206179259712;0;5.371118156874233
53.7315936;86.8490592;12.0;5.775795541127272;0.8788516026102555;-0.0897318242071989;0.010910574079738833;-0.1356174161313347;0;5.842965520400736
53.7317197;86.8491085;12.0;5.029972401884567;0.7137705386500723;-0.0448659121035994;0.017028653002957195;-0.1213418986438258;0;5.08056135634972
53.7318398;86.8491774;13.0;4.200279896466024;0.7276493683708738;-0.0479249515652085;-0.012542061792597092;-0.1101254206179259;0;4.263111728881815
53.7319736;86.8492088;15.0;4.068583841527733;0.7750487757460878;-0.0091771183848271;-0.016620781074742297;-0.1080860609768532;0;4.141757996289489
53.732137;86.8492442;18.0;2.8884676051591143;0.5208183445428989;0.0316100744366268;-0.0069338227796471585;-0.0861629448353217;0;2.935216525381377
53.7324937;86.8490889;19.0;2.557444870014071;0.5776177551358357;-0.0132558376669725;-0.01050270215152449;-0.0805547058223717;0;2.621896689696545
53.7326705;86.8489585;17.0;3.805993271754467;0.6929687670038904;0.0163148771285816;-0.022738859997960326;-0.1040073416947078;0;3.8685987995524793
53.7328157;86.8487965;14.0;3.6913820885633353;0.6592033667021513;0.0244723156928724;0.00785153461813004;-0.0989089425920261;0;3.7498599569414632
53.732913;86.8486378;13.0;5.498412539702307;0.5962999054143054;-0.061180789232181;0.018048332823493385;-0.1294993372081166;0;5.53099060954941
53.732989;86.8484578;13.0;5.999597302631158;0.8599541678252525;-0.0591414295911083;0.01498929336188437;-0.1386764555929438;0;6.061203401404144
53.7330554;86.8482426;13.0;4.955126368610299;1.2207932907295704;-0.0316100744366268;0.005812174977057216;-0.1213418986438258;0;5.103392282040771
53.7331066;86.8479866;15.0;3.268520049082209;1.595932473033133;0.0010196798205363;0.004792495156520804;-0.0917711838482716;0;3.637337599052493
53.7331483;86.8477211;12.0;3.5891188894556336;1.3533670135545437;-0.0020393596410727;-0.0003059039461608126;-0.0978892627714897;0;3.8358025020864317
53.7331755;86.8475179;12.0;5.181441645734415;1.165874161931871;0.0112164780258998;-0.011522381972060902;-0.1274599775670439;0;5.311000461211674
53.7331944;86.8472808;10.0;5.58655909602484;0.8700350962671235;-0.0101967982053635;0.004792495156520804;-0.1325583766697257;0;5.653910821441037
53.7332134;86.8470438;11.0;5.638800140764195;0.662453970011645;-0.0244723156928724;0.011930253900275356;-0.1325583766697257;0;5.677632533380605
53.7332336;86.8467568;13.0;3.900151211285352;0.42058309365252144;-0.0520036708473539;0.004792495156520804;-0.1029876618741715;0;3.923107695607976
53.7332628;86.84653;15.0;3.765790743444125;0.39354899347418604;0.0305903946160905;0.0007137758743755995;-0.1009483022330988;0;3.786422652836945
53.7332862;86.8462462;17.0;3.5601911744513126;0.4546215481950795;-0.0540430304884266;-0.014581421433669917;-0.0989089425920261;0;3.5895072920762647
53.7332996;86.8459268;18.0;2.379792812843321;0.4086686885940076;-0.0499643112062812;0.002753135515448202;-0.0764759865402263;0;2.4151439628916926
53.7333025;86.8456225;19.0;1.0789493320951165;0.34399934651232766;-0.0520036708473539;-0.003364943407770049;-0.0540430304884266;0;1.1336540889579176
53.7332985;86.8453369;17.0;2.2100373769143236;0.340992386100337;-0.014785357397777;0.002753135515448202;-0.0734169470786173;0;2.2362378275867987
53.7333145;86.8450457;17.0;2.4645549109331775;0.14535251971030405;-0.0571020699500356;-0.01050270215152449;-0.0790251860915672;0;2.469497704065253
53.73335;86.8444924;16.0;3.8929171023173472;-0.05745763920117808;-0.0331395941674314;0.002753135515448202;-0.1029876618741715;0;3.8934821405162556
53.7333728;86.8439776;14.0;2.893949735310586;-0.23280969870974966;-0.0367084735393086;0.024166411746711636;-0.0836137452839808;0;2.9035311154432497
53.7333732;86.843722;12.0;4.060217225177853;-0.2403924090088818;-0.0247272356480064;-0.003364943407770049;-0.1065565412460487;0;4.067402594054691
53.7333681;86.8434353;12.0;4.676483138156677;-0.33039106686029607;-0.0295707147955541;-0.0013255837666972248;-0.1172631793616804;0;4.688232846787618
53.7333601;86.8431969;14.0;3.8824472832132244;-0.17516982995979458;-0.0244723156928724;0.0007137758743755995;-0.1029876618741715;0;3.8864740151573463
53.7333484;86.8429548;16.0;3.0222718110327325;-0.16226201295061582;-0.0244723156928724;-0.003364943407770049;-0.0882023044763943;0;3.02672343547362
53.7333242;86.8425722;18.0;2.757302729329653;-0.06906719214230161;-0.0254919955134087;-0.004384623228306239;-0.0836137452839808;0;2.7582854203353264
53.7333077;86.8421461;21.0;2.0810942106095123;-0.052893198352066406;-0.0652595085143265;0.0017334556949117896;-0.0713775874375446;0;2.0827889012849745
53.733341;86.8417698;22.0;1.8242031129945513;0.33699955770801315;-0.0530233506678902;-0.005404303048842873;-0.0672988681553992;0;1.855827894787245
53.7333525;86.8412949;22.0;1.3223438895609467;0.4901980680415301;-0.0622004690527174;0.0007137758743755995;-0.058121749770572;0;1.4116502422771724
53.7333843;86.8409427;21.0;1.0949244843057047;0.4600855617520725;-0.0214132762312633;0.0007137758743755995;-0.0540430304884266;0;1.1878538962615688
53.7334381;86.8405869;20.0;1.760117229238816;-0.005970794167356797;-0.0081574385642908;-0.008463342510451666;-0.0662791883348628;0;1.7601462595052282
53.7335086;86.8402478;19.0;2.51103750943453;0.08562669314472493;-0.0244723156928724;0.018048332823493385;-0.0774956663607627;0;2.512616205989574
53.7335916;86.8399468;19.0;2.4595005279264788;0.39923281555718293;-0.0311002345263587;0.006831854797593628;-0.0774956663607626;0;2.491886215796367
53.7337081;86.8395769;19.0;2.5474238669481197;0.6339056625555308;-0.0163148771285816;0.012949933720811546;-0.078515346181299;0;2.625161123080372
53.7338359;86.8392951;19.0;2.664825396392077;0.7808923517232871;-0.0295707147955541;0.0007137758743755995;-0.0815743856429081;0;2.777041894788344
53.7339811;86.8390307;19.0;2.5076348880122135;0.8589446456948668;0.0107066381156316;-0.002345263587233637;-0.0790251860915672;0;2.6506854336272427
53.7340889;86.8388057;17.0;2.787846989647311;0.8807316336621689;-0.0336494340776996;0.014479453451616164;-0.0825940654634444;0;2.923852139324517
53.7341746;86.8385074;17.0;1.5470284570342168;0.9557847961910166;0.0061180789232181;0.004792495156520804;-0.0616906291424492;0;1.818477125067369
53.7342269;86.8381757;21.0;2.8035141716247693;1.132063025371925;-0.0193739165901906;0.05373712654226559;-0.0795350260018354;0;3.0235134781507416
53.7342415;86.8378063;25.0;3.8980338835643797;1.3358863145972621;-0.023452635872336;0.0527174467217294;-0.0978892627714897;0;4.120656553156744
53.7342532;86.8373572;27.0;1.4333936051093672;1.287518854709139;-0.0571020699500356;-0.018150300805547026;-0.061180789232181;0;1.9275846738321354
