;len;Скорость;Широта;Долгота;Вес мгновенный;Продольный наклон;Поперечный наклон;Высота;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;уклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;nom_point;уровень давления впереди,МПа;уровень давления сзади,МПа;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;рекомендованная скорость_min;рекомендованная скорость_max
219;5913.0;9.0;53.7016886;86.8624438;197.0;3.554436190993599;-5.349731719732773;151.12107279693765;;83.2;9.686768686607229;227.125;-0.0978892627714897;-1.0130519017028652;-0.0632201488732537;Груженный движется вперед;95;7530G;240;1320.0;70.0;99.5;796.0;31.0;796.0;29.0;876.0;45.0;880.3703703703703;41.0;8.0;44.0;863.2542372881356;46.813559322033896;72.28128356481483;8.1;5.0;8.6;15.2;1.7218593185928692;1.7277489930369514;6.6;6.6;10.6;15.37;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
220;5922.0;9.0;53.7017694;86.8624222;201.0;5.160640200257434;-4.7188403281073334;151.42145593870012;;83.2;9.106705226325628;132.45;-0.0825940654634444;-0.9901091057407974;-0.0897318242071989;Груженный движется вперед;95;7530G;240;1155.0;50.0;77.5;796.0;31.0;796.0;29.0;876.0;45.0;880.2962962962963;41.0;8.0;44.0;863.2881355932203;46.82203389830509;72.46524189814816;6.1;6.9;12.8;10.6;1.9511459575950014;1.7179033893617195;6.6;6.6;10.6;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
221;5932.0;7.0;53.7018513;86.8624017;201.0;1.0938871667226497;-4.822216784739982;151.8153256705009;;82.8;9.216768838801574;123.0;-0.0469052717446721;-1.0135617416131335;-0.0193739165901906;Груженный движется вперед;95;7530G;240;802.0;48.5;88.75;796.0;31.0;796.0;29.0;876.0;45.0;880.2222222222222;41.0;8.0;44.0;863.3220338983051;46.83050847457627;72.60190856481483;6.0;9.3;15.5;11.1;1.7093345574193344;1.780709893497213;6.6;9.569999999999999;15.37;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
222;5940.0;8.0;53.7019266;86.8623746;200.0;0.8615767184478567;-4.256591673819751;152.12030651341277;;82.8;8.570634542058457;113.55;-0.2335066789028245;-1.0594473335372694;-0.0163148771285816;Груженный движется вперед;95;7530G;240;950.0;47.0;100.0;796.0;31.0;796.0;29.0;876.0;45.0;880.1481481481482;41.0;8.0;44.0;863.3559322033898;46.83898305084746;72.7280752314815;9.8;8.6;12.5;12.7;1.481218410601139;1.5329360742039682;9.569999999999999;9.569999999999999;15.37;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
223;5952.0;8.0;53.702036;86.8623816;204.0;1.0528333161102439;-4.616329774948406;152.42222222222503;;82.8;12.18729211079499;107.7;-0.0764759865402263;-0.9401447945345162;-0.0173345569491179;Груженный движется вперед;95;7530G;240;1007.0;44.0;86.0;796.0;31.0;796.0;29.0;876.0;45.0;880.074074074074;41.0;8.0;44.0;863.3898305084746;46.84745762711864;72.84774189814816;6.2;8.6;16.6;15.4;1.6202747118787661;1.6938794327724738;6.6;9.569999999999999;15.37;15.37;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
224;5962.0;9.0;53.7021207;86.8623639;203.0;-0.944037848902595;-4.61315312474478;152.71494252873845;;82.8;9.500795783535745;63.575;-0.0887121443866625;-1.0482308555113695;0.0173345569491179;Груженный движется вперед;95;7530G;240;823.0;26.0;48.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;863.4237288135594;46.85593220338984;72.91838078703705;8.2;7.3;11.5;11.7;1.5875324248242773;1.4558869001565802;6.6;9.569999999999999;15.37;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
225;5972.0;11.0;53.7022161;86.8623825;195.0;-2.1131074132311594;-4.331565045212337;152.9923371647538;;83.2;10.690561809857313;19.45;-0.078515346181299;-1.047211175690833;0.0387478331803813;Груженный движется вперед;95;7530G;240;1337.5;8.0;10.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;863.457627118644;46.86440677966102;72.93999189814816;6.2;10.5;17.8;6.7;1.5223356324933937;1.438820768008973;6.6;9.569999999999999;15.37;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
226;5984.0;8.0;53.7023151;86.8624047;199.0;-1.5830355134715504;-3.9891607004942706;153.24827586207178;;83.2;11.117495737211325;59.475;-0.0815743856429081;-1.0298766187417152;0.0285510349750178;Груженный движется вперед;95;7530G;240;1097.0;26.5;55.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;863.4915254237288;46.8728813559322;73.0060752314815;7.3;8.0;15.6;11.3;1.1592548966532843;1.571568138274257;6.6;9.569999999999999;15.37;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
227;5992.0;8.0;53.7023918;86.8624046;197.0;0.23067198970417738;-3.701845685955808;153.47662835249326;;83.2;8.538352063176179;99.5;-0.0723972672580809;-1.0105027021515245;-0.0040787192821454;Груженный движется вперед;95;7530G;240;811.0;45.0;100.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;863.5254237288135;46.88135593220339;73.11663078703705;9.1;7.0;9.8;14.6;0.7907117990049646;1.6395226337713238;9.569999999999999;9.569999999999999;10.6;15.37;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
228;6000.0;4.0;53.7024606;86.8623966;198.0;-0.6710344284643882;-3.391132001746948;153.67126436781894;;83.2;7.6770340337726815;130.275;-0.0346691138982359;-1.044152136229224;0.0122361578464362;Груженный движется вперед;95;7530G;240;1026.0;51.0;100.0;796.0;31.0;796.0;29.0;876.0;45.0;880.0;41.0;8.0;44.0;863.5593220338983;46.889830508474574;73.26138078703706;5.6;9.4;13.0;8.5;0.5276558803347677;1.3296031560038344;6.6;9.569999999999999;10.6;10.6;point_120%;13;6.6;10.6;0.0;0;0;-;0.0;0;0;0.0;0.0
