lat;lon;vel;class;acc_X;acc_Y;acc_Z;fb_tilt;tilt;acc
53.7341297;86.8340337;27.0;0.0;3.3581392697533405;-0.3087525970134922;-0.0545528703986948;-1.006423982869379;-0.0591414295911083;3.372744214566354
53.7339304;86.8336808;28.0;0.0;3.034239154499576;-0.21313666935878;-0.0020393596410727;-1.0003059039461608;-0.0530233506678902;3.041716397942353
53.7337346;86.8332802;28.0;0.0;2.232590586007541;-0.0554189048649579;0.0112164780258998;-0.9676761496889976;-0.037728153359845;2.233306470040606
53.7335016;86.8329704;29.0;0.0;3.45349685898682;0.09282956162493;0.0367084735393086;-0.9962271846640156;-0.0601611094116447;3.4549392750919505
53.7332322;86.8327266;31.0;30.0;3.239585435201976;0.1569064192588888;0.0275313551544814;-1.0084633425104517;-0.0571020699500356;3.2434998677191382
53.7329116;86.8326108;32.0;0.0;1.6148608037342815;0.1566059048855004;0.037728153359845;-0.9758335882532884;-0.0275313551544814;1.6228752997190758
53.7324917;86.8325237;33.0;0.0;2.6076696334736047;0.1140660689751608;-0.0142755174875089;-0.9850107066381156;-0.0448659121035994;2.6102022480703186
53.7321642;86.8325034;32.0;0.0;2.565925699282856;0.1323912383682964;-0.0071377587437544;-0.9783827878046292;-0.0438462322830631;2.5693487660955623
53.7317396;86.8324628;34.0;0.0;2.232702827602304;-0.189876244993797;0.0367084735393086;-0.9931681452024064;-0.0387478331803813;2.2410627873457396
53.7313903;86.8324719;34.0;0.0;3.022211360266902;-0.546788998457366;-0.0458855919241358;-0.945243193637198;-0.0499643112062812;3.0716193127577767
53.7310151;86.8324295;33.0;0.0;3.516592309487652;-0.6511394999331862;-0.0397675130009177;-0.9615580707657796;-0.0591414295911083;3.576588538623253
53.7306707;86.8323411;35.0;0.0;1.9920680789845395;-0.5241671702013925;-0.023452635872336;-1.0257978994595698;-0.0356887937187723;2.0600088542905466
53.7303157;86.8322677;36.0;0.0;1.2414898666806191;-0.4945221251685885;0.0056082390129499;-0.9880697460997246;-0.0214132762312633;1.3363684647943264
53.7299392;86.8321472;36.0;0.0;2.758595945073409;-0.7764415470467734;-0.0295707147955541;-0.9941878250229428;-0.0479249515652085;2.8659357095596825
53.7295654;86.832055;37.0;30.0;0.1710173627992118;-0.956272519409606;-0.0132558376669725;-1.0247782196390334;-0.003059039461609;0.9715347585079217
53.7292047;86.8319503;35.0;30.0;-0.7574374253147115;-0.8902041689653468;-0.0254919955134087;-1.0023452635872336;0.0132558376669725;1.1691128078786575
53.7288279;86.8318807;35.0;30.0;-1.633455564387976;-1.0937647096568857;-0.0040787192821454;-1.072703171204242;0.0305903946160905;1.9658369609079578
53.7284695;86.8317527;35.0;30.0;-0.2369997387454299;-1.1285188040632463;-0.0050983991026817;-0.986030386458652;0.0040787192821454;1.1531476752624323
53.7281163;86.8316555;36.0;30.0;-1.401241751796618;-1.0056288117238257;-0.0173345569491179;-1.0003059039461608;0.0244723156928724;1.7248386129756461
53.7277391;86.8315343;37.0;30.0;0.0599796456216378;-0.8374063273737806;-0.0224329560517997;-0.9737942286122158;-0.0010196798205363;0.8398512681015387
